county_fips,state_code,region,as_weighted_avg20062011,ba_weighted_avg20062011,be_weighted_avg20062011,cd_weighted_avg20062011,cr_weighted_avg20062011,hg_weighted_avg20062011,se_weighted_avg20062011,u_weighted_avg20002011
06091,CA,SW,2.09,20.4,0.46,0.17,0.11,0.14,0.42,1.98
06093,CA,SW,0.98,1.12,0.14,0.04,0.52,0.14,0.42,1.47
06095,CA,SW,0.73,15.61,0.14,0.07,1.08,0.14,0.55,1.9
06097,CA,SW,2.5,48.66,0.14,0.07,0.36,0.14,0.45,1.55
06099,CA,SW,5.38,67.63,0.14,0.05,2.78,0.14,1.38,8.67
06101,CA,SW,3.99,85.7,0.14,0.04,0.86,0.14,0.45,1.47
06103,CA,SW,1.99,9.09,0.14,0.04,1.01,0.14,0.42,1.05
06107,CA,SW,1.79,42.25,0.13,0.04,0.71,0.13,0.47,5.48
06109,CA,SW,0.45,2.03,0.14,0.04,0.85,0.15,0.52,6.46
06111,CA,SW,0.9,30.54,0.14,0.06,0.52,0.14,8.62,8.21
06113,CA,SW,2.5,105.09,0.14,0.04,14.78,0.14,6.42,1.94
06115,CA,SW,2.04,52.41,0.13,0.06,0.93,0.22,0.55,2.54
09001,CT,MA,0.36,15.64,0.14,0.04,0.08,0.14,0.42,1.23
09003,CT,MA,0.42,37.36,0.22,0.04,0.65,0.15,0.42,0.81
09005,CT,MA,0.36,19.52,0.14,0.04,0.38,0.14,0.42,1.42
09007,CT,MA,0.41,75.25,0.14,0.04,0.1,0.14,0.42,1.58
09009,CT,MA,0.35,62.77,0.14,0.05,0.18,0.14,0.42,0.6
09011,CT,MA,0.35,9.69,0.14,0.04,0.1,0.15,0.71,0.85
09013,CT,MA,0.36,23.09,0.14,0.05,0.14,0.14,0.43,1.11
09015,CT,MA,0.62,9.94,0.14,0.04,0.16,0.14,0.42,0.71
11001,DC,MA,0.52,37.25,0.14,0.04,1.34,0.14,0.76,0.35
12009,FL,SE,0.59,12.12,0.14,0.04,0.9,0.14,1.93,0.35
12011,FL,SE,0.71,5.4,0.16,0.09,0.3,0.14,0.93,0.74
12015,FL,SE,0.65,23.65,0.14,0.04,0.12,0.14,1.43,0.48
12017,FL,SE,0.6,6.1,0.19,0.11,0.87,0.14,1,0.38
12019,FL,SE,0.49,12.32,0.14,0.05,0.06,0.14,0.64,0.35
12021,FL,SE,1.12,4.61,0.14,0.04,1.58,0.14,0.77,1.47
12027,FL,SE,0.46,19.78,0.14,0.04,0.22,0.14,1.46,0.6
12029,FL,SE,2.62,9.99,0.14,0.08,0.5,0.13,0.64,0.35
12031,FL,SE,0.66,20.25,0.14,0.04,0.08,0.14,2.8,0.35
12033,FL,SE,0.35,28.75,0.14,0.04,0.18,0.14,0.44,0.41
12035,FL,SE,0.52,8.49,0.13,0.26,0.11,0.14,1.63,0.71
12043,FL,SE,0.36,17.94,0.48,0.04,0.8,0.13,0.76,0.35
12045,FL,SE,0.35,17.46,0.14,0.04,0.23,0.14,0.48,0.35
12049,FL,SE,0.41,52.72,0.19,0.04,0.73,0.14,0.42,0.76
12053,FL,SE,0.87,5.36,0.17,0.04,0.55,0.14,1.29,3.46
12055,FL,SE,0.37,52.07,0.14,0.04,0.52,0.14,0.61,0.35
12057,FL,SE,0.57,12.94,0.16,0.07,0.4,0.14,1.27,0.68
12071,FL,SE,0.63,10.71,0.19,0.04,0.66,0.14,0.94,0.65
12075,FL,SE,0.71,9.31,0.14,0.56,0.23,0.14,1.13,0.59
12081,FL,SE,0.91,16.12,0.14,0.13,0.25,0.21,0.96,0.49
12083,FL,SE,1.01,4.24,0.14,0.14,0.76,0.16,1.15,0.54
12086,FL,SE,0.59,6.79,0.14,0.04,0.12,0.14,0.42,0.71
12089,FL,SE,0.57,30.29,0.14,0.04,1.87,0.14,2.1,0.35
12093,FL,SE,0.63,302.1,0.14,0.44,2.82,0.14,1.86,0.35
12095,FL,SE,0.43,16.38,0.16,0.05,0.63,0.14,0.58,0.35
12099,FL,SE,0.51,3.73,0.19,0.19,0.67,0.15,0.59,0.37
12101,FL,SE,0.68,13.05,0.14,0.26,0.26,0.14,0.76,0.63
12103,FL,SE,2.88,11.2,0.15,0.4,0.75,0.14,1.4,1.65
12105,FL,SE,0.62,19.12,0.14,0.12,0.86,0.14,0.65,0.49
12109,FL,SE,0.46,77.19,0.15,0.04,0.08,0.14,0.57,0.37
12111,FL,SE,0.37,11.08,0.14,0.04,1.02,0.14,1.08,0.38
12115,FL,SE,0.58,5.69,0.15,0.04,0.43,0.15,1.38,0.35
